primary_city,state,county
holtsville,NY,suffolk county
agawam,MA,hampden county
amherst,MA,hampshire county
amherst,MA,hampshire county
amherst,MA,hampshire county
barre,MA,worcester county
belchertown,MA,hampshire county
blandford,MA,hampden county
bondsville,MA,hampden county
brimfield,MA,hampden county
chester,MA,hampden county
chesterfield,MA,hampshire county
chicopee,MA,hampden county
chicopee,MA,hampden county
chicopee,MA,hampden county
chicopee,MA,hampden county
chicopee,MA,hampden county
cummington,MA,hampshire county
easthampton,MA,hampshire county
east longmeadow,MA,hampden county
east otis,MA,berkshire county
feeding hills,MA,hampden county
gilbertville,MA,worcester county
goshen,MA,hampshire county
granby,MA,hampshire county
granville,MA,hampden county
hadley,MA,hampshire county
hampden,MA,hampden county
hardwick,MA,worcester county
hatfield,MA,hampshire county
haydenville,MA,hampshire county
holyoke,MA,hampden county
holyoke,MA,hampden county
huntington,MA,hampshire county
leeds,MA,hampshire county
leverett,MA,franklin county
ludlow,MA,hampden county
monson,MA,hampden county
north amherst,MA,hampshire county
northampton,MA,hampshire county
northampton,MA,hampshire county
florence,MA,hampshire county
northampton,MA,hampshire county
north hatfield,MA,franklin county
oakham,MA,worcester county
palmer,MA,hampden county
plainfield,MA,hampshire county
russell,MA,hampden county
shutesbury,MA,franklin county
southampton,MA,hampshire county
south barre,MA,worcester county
south hadley,MA,hampshire county
southwick,MA,hampden county
thorndike,MA,hampden county
three rivers,MA,hampden county
wales,MA,hampden county
ware,MA,hampshire county
warren,MA,worcester county
west chesterfield,MA,hampshire county
westfield,MA,hampden county
westfield,MA,hampden county
west hatfield,MA,hampshire county
west springfield,MA,hampden county
west springfield,MA,hampden county
west warren,MA,worcester county
whately,MA,franklin county
wheelwright,MA,worcester county
wilbraham,MA,hampden county
williamsburg,MA,hampshire county
woronoco,MA,hampden county
worthington,MA,hampshire county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
longmeadow,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
longmeadow,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
indian orchard,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
springfield,MA,hampden county
