state,county,total_county_pop,white_county_pop,black_county_pop,native_county_pop,other_county_pop,hispanic_county_pop,asian_county_pop
alabama,autauga county,53745,42033,10156,230,1564,1391,500
alabama,baldwin county,182575,159047,17833,929,6820,8630,1256
alabama,barbour county,25836,12505,12528,48,1151,1283,100
alabama,bibb county,22198,16936,4791,160,584,455,19
alabama,blount county,52765,50820,847,199,1645,4880,57
alabama,bullock county,10262,2372,7640,70,252,431,54
alabama,butler county,20290,11006,8975,25,318,233,118
alabama,calhoun county,113169,85871,24186,272,3759,4017,956
alabama,chambers county,33933,19651,13715,61,568,158,222
alabama,cherokee county,25667,23929,1240,97,652,375,75
alabama,chilton county,40415,35342,4438,178,641,3366,104
alabama,choctaw county,13490,7551,5847,0,168,56,8
alabama,clarke county,25221,13548,11401,0,256,110,144
alabama,clay county,13193,10900,1986,103,391,424,0
alabama,cleburne county,14659,13897,430,53,420,331,69
alabama,coffee county,47490,36434,8576,385,2817,3236,673
alabama,colbert county,53215,43099,8691,360,1710,1276,210
alabama,conecuh county,12779,6629,5814,71,510,206,10
alabama,coosa county,11009,7311,3524,7,334,238,0
alabama,covington county,37317,31656,4849,196,920,564,154
alabama,crenshaw county,13709,9873,3269,107,414,229,228
alabama,cullman county,77187,74464,886,354,2042,3481,420
alabama,dale county,47084,35116,9528,187,3027,2929,604
alabama,dallas county,42583,12251,29738,42,954,160,75
alabama,dekalb county,61152,57599,1179,827,2676,9922,209
alabama,elmore county,78141,59434,16493,322,2480,2180,617
alabama,escambia county,37274,23179,12339,1262,867,768,52
alabama,etowah county,100457,81954,15955,327,2803,3669,771
alabama,fayette county,16891,14559,2081,0,418,128,42
alabama,franklin county,26781,24970,1391,206,326,4882,51
alabama,geneva county,25869,22582,2557,58,967,947,109
alabama,greene county,8759,1559,7102,34,108,39,10
alabama,hale county,15229,6128,8974,36,72,164,55
alabama,henry county,16852,11767,4777,0,180,418,218
alabama,houston county,99828,70059,26765,328,3595,3251,831
alabama,jackson county,51599,47536,1715,974,2181,1413,245
alabama,jefferson county,633718,337392,277526,1455,13665,25116,9991
alabama,lamar county,14073,12270,1659,37,210,195,2
alabama,lauderdale county,90606,78934,9179,406,2594,2174,752
alabama,lawrence county,33172,25899,3743,1845,3264,663,40
alabama,lee county,142356,101394,33782,231,4346,5434,4639
alabama,limestone county,82233,67850,11113,509,3178,4934,1107
alabama,lowndes county,10816,2754,8024,0,76,102,0
alabama,macon county,20200,3255,16627,59,331,305,38
alabama,madison county,327245,225888,81479,2120,17846,15984,8611
alabama,marengo county,20064,9389,10472,55,174,425,58
alabama,marion county,29821,28105,1083,46,859,706,157
alabama,marshall county,82291,78149,1692,511,2802,11830,519
alabama,mobile county,403335,242009,144312,2571,12898,10710,7941
alabama,monroe county,22275,12333,9392,221,430,234,114
alabama,montgomery county,220894,85400,126780,480,5838,7956,5222
alabama,morgan county,110440,92275,14277,578,4945,9304,829
alabama,perry county,10115,3045,6974,2,124,88,32
alabama,pickens county,19475,10920,8387,0,336,154,0
alabama,pike county,32466,18995,12087,258,804,750,724
alabama,randolph county,22066,17095,4515,39,706,658,64
alabama,russell county,54388,28839,23592,148,2516,2592,551
alabama,st. clair county,83381,73778,7888,350,1532,1861,581
alabama,shelby county,189276,159233,23009,520,4563,11892,4098
alabama,sumter county,13370,3288,9805,48,48,63,205
alabama,talladega county,79931,52292,26002,240,2244,1742,274
alabama,tallapoosa county,40259,28551,11328,82,575,1036,5
alabama,tuscaloosa county,192351,126998,60158,328,3818,6319,2798
alabama,walker county,64773,59498,3618,39,2774,1438,225
alabama,washington county,16937,11195,4119,1405,30,200,191
alabama,wilcox county,11299,3082,8197,4,32,68,0
alabama,winston county,23591,22916,127,57,922,665,30
alaska,aleutians east borough,2855,456,332,874,176,441,1105
alaska,aleutians west census area,5054,1633,289,749,576,596,2090
alaska,anchorage municipality,273491,182096,16625,19482,48175,24687,31003
alaska,bethel census area,17295,1988,117,14178,1554,281,235
alaska,bristol bay borough,939,532,3,317,158,56,8
alaska,denali borough,1999,1731,39,69,128,49,96
alaska,dillingham census area,4826,877,11,3538,686,130,57
alaska,fairbanks north star borough,92462,72005,4228,6011,14088,6857,3127
alaska,haines borough,2525,2056,1,168,502,32,49
alaska,hoonah-angoon census area,2088,1052,12,763,426,38,46
alaska,juneau city and borough,30316,21398,376,3757,4983,1884,2240
alaska,kenai peninsula borough,54705,46519,314,4213,5819,1982,713
alaska,ketchikan gateway borough,13040,8951,55,1971,2446,636,840
alaska,kodiak island borough,12796,7206,113,1947,996,1128,3032
alaska,lake and peninsula borough,1459,312,8,1051,126,31,25
alaska,matanuska-susitna borough,89861,76444,768,4849,12418,3982,1532
alaska,nome census area,9624,1621,64,6928,1788,168,111
alaska,north slope borough,9300,3097,43,5001,1132,318,589
alaska,northwest arctic borough,7560,894,24,6203,764,112,57
alaska,petersburg borough,2970,2276,74,231,636,242,70
alaska,prince of wales-hyder census area,6171,2935,19,2538,1231,185,59
alaska,sitka city and borough,8454,5687,89,1340,1594,503,541
alaska,skagway municipality,965,766,0,28,108,31,116
alaska,southeast fairbanks census area,6738,5459,75,786,666,306,85
alaska,valdez-cordova census area,9274,6820,29,1448,1206,411,335
alaska,wade hampton census area,7758,311,21,6910,916,20,58
alaska,wrangell city and borough,2360,1697,4,397,372,23,75
