state,county,educ_pct
alabama,alabama,83.7
alabama,autauga county,86.2
alabama,baldwin county,89
alabama,barbour county,74.6
alabama,bibb county,77.9
alabama,blount county,78.1
alabama,bullock county,65.5
alabama,butler county,76.6
alabama,calhoun county,80.1
alabama,chambers county,77.5
alabama,cherokee county,79.5
alabama,chilton county,77.5
alabama,choctaw county,74.1
alabama,clarke county,80.1
alabama,clay county,74.9
alabama,cleburne county,75.3
alabama,coffee county,83.1
alabama,colbert county,83.6
alabama,conecuh county,76
alabama,coosa county,75.9
alabama,covington county,80
alabama,crenshaw county,76.9
alabama,cullman county,81.5
alabama,dale county,84.7
alabama,dallas county,77.7
alabama,dekalb county,73.1
alabama,elmore county,87.2
alabama,escambia county,78.6
alabama,etowah county,82.1
alabama,fayette county,76.1
alabama,franklin county,74.4
alabama,geneva county,78.1
alabama,greene county,75.1
alabama,hale county,79.4
alabama,henry county,79.5
alabama,houston county,84.3
alabama,jackson county,75.3
alabama,jefferson county,87.7
alabama,lamar county,77.9
alabama,lauderdale county,84
alabama,lawrence county,78.1
alabama,lee county,87.5
alabama,limestone county,82.6
alabama,lowndes county,72.7
alabama,macon county,81.3
alabama,madison county,90.1
alabama,marengo county,84.3
alabama,marion county,74.9
alabama,marshall county,77.1
alabama,mobile county,84.9
alabama,monroe county,78.6
alabama,montgomery county,85
alabama,morgan county,81.9
alabama,perry county,69.6
alabama,pickens county,78.6
alabama,pike county,80
alabama,randolph county,74.5
alabama,russell county,81.3
alabama,st  clair county,82.4
alabama,shelby county,91.3
alabama,sumter county,77.1
alabama,talladega county,79.6
alabama,tallapoosa county,80.3
alabama,tuscaloosa county,87
alabama,walker county,77.1
alabama,washington county,82
alabama,wilcox county,78.6
alabama,winston county,73.8
alaska,alaska,91.8
alaska,aleutians east borough,79.5
alaska,aleutians west census area,85.5
alaska,anchorage municipality,92.5
alaska,bethel census area,80.2
alaska,bristol bay borough,91.2
alaska,denali borough,90.9
alaska,dillingham census area,84.4
alaska,fairbanks north star borough,93.4
alaska,haines borough,95.7
alaska,hoonah angoon census area,89.9
alaska,juneau city and borough,94.6
alaska,kenai peninsula borough,93.3
alaska,ketchikan gateway borough,92.8
alaska,kodiak island borough,91
alaska,lake and peninsula borough,85.1
alaska,matanuska susitna borough,92.5
alaska,nome census area,84.7
alaska,north slope borough,87.1
alaska,northwest arctic borough,79.3
alaska,petersburg borough,95.4
alaska,prince of wales hyder census area,91.1
alaska,sitka city and borough,92
alaska,skagway municipality,96.7
