state,county,poverty_pct,med_income
AL,alabama,19.2,42917
AL,autauga county,13.1,54366
AL,baldwin county,13,49626
AL,barbour county,25.4,34971
AL,bibb county,18.1,39546
AL,blount county,17.5,45567
AL,bullock county,35.1,26580
AL,butler county,25,32512
AL,calhoun county,20.5,41123
AL,chambers county,21.3,34116
AL,cherokee county,18.6,38013
AL,chilton county,18.1,41450
AL,choctaw county,25,35049
AL,clarke county,24.9,36620
AL,clay county,19.5,35940
AL,cleburne county,17,40418
AL,coffee county,16.8,46931
AL,colbert county,16.7,43057
AL,conecuh county,30.6,29101
AL,coosa county,18.8,34679
AL,covington county,20.8,36149
AL,crenshaw county,21.2,34445
AL,cullman county,17.2,39922
AL,dale county,22.4,41940
AL,dallas county,35.2,26602
AL,dekalb county,24,36241
AL,elmore county,14.4,54298
AL,escambia county,25.1,37077
AL,etowah county,19,39904
AL,fayette county,20.6,35664
AL,franklin county,23.1,33881
AL,geneva county,23.9,34425
AL,greene county,33.2,26504
AL,hale county,28.1,33315
AL,henry county,17.3,39930
AL,houston county,20.1,40124
AL,jackson county,22,36923
AL,jefferson county,19.5,44852
AL,lamar county,20.6,34553
AL,lauderdale county,18.7,41324
AL,lawrence county,16.6,41574
AL,lee county,25.2,41256
AL,limestone county,13.6,51175
AL,lowndes county,31.4,30675
AL,macon county,32.1,28518
AL,madison county,14.2,58833
AL,marengo county,25.6,32977
AL,marion county,20.2,37707
AL,marshall county,22,36536
AL,mobile county,19.6,42943
AL,monroe county,25.3,34733
AL,montgomery county,22.5,43054
AL,morgan county,15,45082
AL,perry county,46.9,27403
AL,pickens county,25,31933
AL,pike county,26.4,31844
AL,randolph county,20.4,36939
AL,russell county,20.9,35585
AL,st. clair county,14.3,50571
AL,shelby county,9.6,69432
AL,sumter county,38.1,25413
AL,talladega county,22.5,39999
AL,tallapoosa county,21.3,36779
AL,tuscaloosa county,18,46892
AL,walker county,23.5,37245
AL,washington county,18.5,41321
AL,wilcox county,33.7,24035
AL,winston county,20.1,35528
AK,alaska,11.4,70898
AK,aleutians east borough,16.2,55462
AK,aleutians west census area,9.9,68387
AK,anchorage borough,10,75200
AK,bethel census area,23.8,45808
AK,bristol bay borough,9.5,75364
AK,denali borough,7.1,69692
AK,dillingham census area,17.5,51082
AK,fairbanks north star borough,9.5,67801
AK,haines borough,9.8,67260
AK,hoonah-angoon census area,19.1,51687
AK,juneau borough,7.9,80835
AK,kenai peninsula borough,11.5,62532
AK,ketchikan gateway borough,12.4,57776
AK,kodiak island borough,8.3,67972
AK,lake and peninsula borough,17.7,45570
AK,matanuska-susitna borough,10.7,73981
AK,nome census area,26.1,47160
AK,north slope borough,11.5,75682
AK,northwest arctic borough,23.2,65192
AK,petersburg borough,8.8,56655
AK,prince of wales-hyder census area,17.4,43245
AK,sitka borough,8.6,65765
AK,skagway municipality,3.6,69170
AK,southeast fairbanks census area,13.8,59641
AK,valdez-cordova census area,9.9,73998
AK,wade hampton census area,35.7,30877
AK,wrangell city and borough,11.9,52201
AK,yakutat borough,14.8,52595
AK,yukon-koyukuk census area,25.7,36708
AZ,arizona,18.2,50036
AZ,apache county,33.1,32366
AZ,cochise county,18.7,45025
AZ,coconino county,21.3,48653
AZ,gila county,24.4,37677
AZ,graham county,20,46046
AZ,greenlee county,10.3,59416
AZ,la paz county,22.8,32533
AZ,maricopa county,17.1,53929
AZ,mohave county,20.8,37704
AZ,navajo county,28.5,35457
AZ,pima county,18.7,45871
AZ,pinal county,17.6,49876
AZ,santa cruz county,23.6,37465
AZ,yavapai county,15.6,44145
AZ,yuma county,22.6,39700
AR,arkansas,18.7,41335
AR,arkansas county,20.4,36409
AR,ashley county,22.7,36176
AR,baxter county,14.9,37873
AR,benton county,11.9,57408
AR,boone county,16.9,39779
AR,bradley county,27.4,32734
AR,calhoun county,18,39493
AR,carroll county,17.9,36964
AR,chicot county,32.1,29541
AR,clark county,21.5,38504
AR,clay county,19.9,33826
AR,cleburne county,15.2,40555
AR,cleveland county,16.6,43201
AR,columbia county,24.1,37495
AR,conway county,18.3,42348
AR,craighead county,22.3,42851
AR,crawford county,16.6,43466
AR,crittenden county,27.3,35455
AR,cross county,22.3,38597
AR,dallas county,21,34018
