pop,state_abb
4858979,AL
738432,AK
6828065,AZ
2978204,AR
39144818,CA
5456574,CO
3590886,CT
945934,DE
672228,NA
20271272,FL
10214860,GA
1431603,HI
1654930,ID
12859995,IL
6619680,IN
3123899,IA
2911641,KS
4425092,KY
4670724,LA
1329328,ME
6006401,MD
6794422,MA
9922576,MI
5489594,MN
2992333,MS
6083672,MO
1032949,MT
1896190,NE
2890845,NV
1330608,NH
8958013,NJ
2085109,NM
19795791,NY
10042802,NC
756927,ND
11613423,OH
3911338,OK
4028977,OR
12802503,PA
1056298,RI
4896146,SC
858469,SD
6600299,TN
27469114,TX
2995919,UT
626042,VT
8382993,VA
7170351,WA
1844128,WV
5771337,WI
586107,WY
