county,unemployment_rate,state
autauga county,8.5,alabama
baldwin county,8.6,alabama
barbour county,14.2,alabama
bibb county,10.9,alabama
blount county,9.3,alabama
bullock county,17.4,alabama
butler county,12.2,alabama
calhoun county,13.5,alabama
chambers county,12.7,alabama
cherokee county,9.6,alabama
chilton county,9.7,alabama
choctaw county,13.4,alabama
clarke county,19.9,alabama
clay county,10.9,alabama
cleburne county,8.6,alabama
coffee county,7.3,alabama
colbert county,10.0,alabama
conecuh county,26.7,alabama
coosa county,19.9,alabama
covington county,10.5,alabama
crenshaw county,10.7,alabama
cullman county,9.0,alabama
dale county,10.8,alabama
dallas county,18.0,alabama
dekalb county,9.5,alabama
elmore county,8.6,alabama
escambia county,16.2,alabama
etowah county,10.7,alabama
fayette county,11.3,alabama
franklin county,9.5,alabama
geneva county,10.7,alabama
greene county,25.9,alabama
hale county,13.4,alabama
henry county,11.1,alabama
houston county,8.1,alabama
jackson county,10.4,alabama
jefferson county,9.9,alabama
lamar county,9.7,alabama
lauderdale county,7.9,alabama
lawrence county,11.4,alabama
lee county,8.4,alabama
limestone county,8.4,alabama
lowndes county,16.7,alabama
macon county,18.8,alabama
madison county,9.6,alabama
marengo county,11.0,alabama
marion county,11.4,alabama
marshall county,9.5,alabama
mobile county,11.1,alabama
monroe county,18.8,alabama
montgomery county,8.9,alabama
morgan county,10.8,alabama
perry county,18.0,alabama
pickens county,16.7,alabama
pike county,9.9,alabama
randolph county,11.4,alabama
russell county,12.4,alabama
st. clair county,9.5,alabama
shelby county,6.2,alabama
sumter county,16.7,alabama
talladega county,14.9,alabama
tallapoosa county,10.3,alabama
tuscaloosa county,8.2,alabama
walker county,13.1,alabama
washington county,19.8,alabama
wilcox county,21.6,alabama
winston county,10.1,alabama
aleutians east borough,2.2,alaska
aleutians west census area,2.7,alaska
anchorage municipality,6.9,alaska
bethel census area,17.3,alaska
bristol bay borough,5.5,alaska
denali borough,2.7,alaska
dillingham census area,16.4,alaska
fairbanks north star borough,8.2,alaska
haines borough,6.2,alaska
hoonah-angoon census area,13.9,alaska
juneau city and borough,5.6,alaska
kenai peninsula borough,9.4,alaska
ketchikan gateway borough,8.5,alaska
kodiak island borough,5.3,alaska
lake and peninsula borough,11.9,alaska
matanuska-susitna borough,10.2,alaska
nome census area,17.6,alaska
north slope borough,10.3,alaska
northwest arctic borough,23.8,alaska
petersburg borough,5.7,alaska
prince of wales-hyder census area,13.4,alaska
sitka city and borough,4.6,alaska
skagway municipality,5.5,alaska
southeast fairbanks census area,8.4,alaska
valdez-cordova census area,9.6,alaska
wade hampton census area,28.7,alaska
wrangell city and borough,6.0,alaska
yakutat city and borough,8.2,alaska
yukon-koyukuk census area,20.3,alaska
apache county,20.1,arizona
cochise county,9.3,arizona
coconino county,9.7,arizona
gila county,12.1,arizona
graham county,13.2,arizona
greenlee county,8.7,arizona
la paz county,12.2,arizona
maricopa county,8.9,arizona
mohave county,14.3,arizona
navajo county,19.9,arizona
pima county,10.8,arizona
pinal county,11.6,arizona
santa cruz county,11.8,arizona
yavapai county,10.9,arizona
yuma county,13.4,arizona
arkansas county,7.7,arkansas
ashley county,12.0,arkansas
baxter county,9.1,arkansas
benton county,5.0,arkansas
boone county,9.3,arkansas
bradley county,7.3,arkansas
calhoun county,7.5,arkansas
carroll county,7.4,arkansas
chicot county,12.0,arkansas
clark county,10.4,arkansas
clay county,11.2,arkansas
cleburne county,12.0,arkansas
cleveland county,10.3,arkansas
columbia county,9.5,arkansas
conway county,8.7,arkansas
craighead county,8.2,arkansas
crawford county,8.5,arkansas
crittenden county,12.6,arkansas
cross county,9.1,arkansas
dallas county,7.1,arkansas
desha county,15.1,arkansas
drew county,14.4,arkansas
faulkner county,6.8,arkansas
franklin county,11.3,arkansas
fulton county,8.7,arkansas
garland county,10.0,arkansas
grant county,9.5,arkansas
greene county,9.6,arkansas
hempstead county,9.9,arkansas
hot spring county,7.9,arkansas
howard county,9.4,arkansas
independence county,7.8,arkansas
izard county,10.5,arkansas
jackson county,8.3,arkansas
jefferson county,12.7,arkansas
johnson county,6.8,arkansas
lafayette county,14.8,arkansas
lawrence county,8.4,arkansas
lee county,18.4,arkansas
lincoln county,16.4,arkansas
little river county,7.5,arkansas
logan county,8.5,arkansas
lonoke county,7.1,arkansas
madison county,8.3,arkansas
marion county,9.6,arkansas
miller county,9.3,arkansas
mississippi county,13.3,arkansas
monroe county,12.7,arkansas
montgomery county,4.7,arkansas
nevada county,11.9,arkansas
newton county,3.5,arkansas
ouachita county,11.1,arkansas
perry county,6.5,arkansas
phillips county,18.6,arkansas
pike county,7.5,arkansas
poinsett county,11.4,arkansas
polk county,8.0,arkansas
pope county,7.6,arkansas
prairie county,5.5,arkansas
pulaski county,8.0,arkansas
randolph county,5.9,arkansas
st. francis county,12.8,arkansas
saline county,6.1,arkansas
scott county,9.4,arkansas
searcy county,6.8,arkansas
sebastian county,6.8,arkansas
sevier county,11.6,arkansas
sharp county,10.4,arkansas
stone county,6.1,arkansas
union county,10.4,arkansas
van buren county,13.9,arkansas
washington county,7.1,arkansas
white county,7.1,arkansas
woodruff county,12.6,arkansas
yell county,8.1,arkansas
alameda county,9.6,california
alpine county,6.0,california
amador county,15.9,california
butte county,13.1,california
calaveras county,11.3,california
colusa county,12.4,california
contra costa county,9.8,california
del norte county,12.6,california
el dorado county,11.3,california
fresno county,14.3,california
glenn county,13.5,california
humboldt county,11.3,california
imperial county,18.1,california
inyo county,7.9,california
kern county,13.2,california
kings county,14.2,california
lake county,16.6,california
lassen county,13.4,california
los angeles county,11.0,california
madera county,9.5,california
marin county,7.2,california
mariposa county,13.2,california
mendocino county,12.3,california
merced county,17.5,california
modoc county,12.3,california
mono county,11.9,california
monterey county,9.6,california
napa county,8.4,california
nevada county,10.7,california
orange county,8.8,california
placer county,9.3,california
plumas county,16.7,california
riverside county,14.3,california
sacramento county,13.1,california
san benito county,14.0,california
san bernardino county,13.9,california
san diego county,9.6,california
san francisco county,7.6,california
san joaquin county,15.0,california
san luis obispo county,8.0,california
san mateo county,7.4,california
santa barbara county,8.9,california
santa clara county,8.8,california
santa cruz county,8.7,california
shasta county,12.2,california
sierra county,7.0,california
siskiyou county,14.4,california
solano county,12.1,california
sonoma county,9.6,california
stanislaus county,16.3,california
sutter county,14.0,california
tehama county,16.1,california
trinity county,13.0,california
tulare county,13.5,california
tuolumne county,15.2,california
ventura county,9.4,california
yolo county,9.6,california
yuba county,17.3,california
adams county,9.3,colorado
alamosa county,10.7,colorado
arapahoe county,8.1,colorado
archuleta county,9.2,colorado
baca county,3.7,colorado
bent county,10.1,colorado
boulder county,6.9,colorado
broomfield county,6.0,colorado
chaffee county,6.1,colorado
cheyenne county,5.8,colorado
clear creek county,7.3,colorado
conejos county,9.2,colorado
costilla county,15.1,colorado
crowley county,28.8,colorado
custer county,12.8,colorado
delta county,12.1,colorado
denver county,7.8,colorado
dolores county,8.1,colorado
douglas county,4.7,colorado
eagle county,5.0,colorado
elbert county,7.4,colorado
el paso county,9.3,colorado
fremont county,9.2,colorado
garfield county,7.6,colorado
gilpin county,5.7,colorado
grand county,5.5,colorado
gunnison county,8.8,colorado
hinsdale county,4.2,colorado
huerfano county,14.3,colorado
jackson county,1.3,colorado
jefferson county,7.0,colorado
kiowa county,3.2,colorado
kit carson county,6.5,colorado
lake county,6.5,colorado
la plata county,6.0,colorado
larimer county,7.5,colorado
las animas county,9.0,colorado
lincoln county,7.9,colorado
logan county,11.8,colorado
mesa county,9.2,colorado
mineral county,0.6,colorado
moffat county,5.5,colorado
montezuma county,9.6,colorado
montrose county,9.9,colorado
morgan county,5.8,colorado
otero county,11.0,colorado
ouray county,10.5,colorado
park county,6.7,colorado
phillips county,6.1,colorado
pitkin county,7.8,colorado
prowers county,9.9,colorado
pueblo county,11.1,colorado
rio blanco county,4.1,colorado
rio grande county,8.8,colorado
routt county,6.3,colorado
saguache county,11.4,colorado
san juan county,18.5,colorado
san miguel county,5.7,colorado
sedgwick county,8.0,colorado
summit county,5.7,colorado
teller county,9.1,colorado
washington county,5.5,colorado
weld county,7.5,colorado
yuma county,2.6,colorado
fairfield county,9.6,connecticut
hartford county,10.3,connecticut
litchfield county,7.6,connecticut
middlesex county,6.6,connecticut
new haven county,10.4,connecticut
new london county,8.4,connecticut
tolland county,7.5,connecticut
windham county,10.6,connecticut
kent county,9.6,delaware
new castle county,8.2,delaware
sussex county,8.9,delaware
district of columbia,10.6,district of columbia
alachua county,8.5,florida
baker county,9.8,florida
bay county,9.8,florida
bradford county,14.5,florida
brevard county,12.1,florida
broward county,11.3,florida
calhoun county,10.1,florida
charlotte county,12.6,florida
citrus county,14.1,florida
clay county,11.6,florida
collier county,9.2,florida
columbia county,16.9,florida
desoto county,10.7,florida
dixie county,8.3,florida
duval county,11.1,florida
escambia county,10.9,florida
flagler county,10.4,florida
franklin county,11.2,florida
gadsden county,13.1,florida
gilchrist county,14.8,florida
glades county,13.9,florida
gulf county,12.8,florida
hamilton county,17.2,florida
hardee county,13.3,florida
hendry county,14.0,florida
hernando county,15.8,florida
highlands county,14.9,florida
hillsborough county,10.1,florida
holmes county,12.3,florida
indian river county,13.6,florida
jackson county,13.7,florida
jefferson county,12.9,florida
lafayette county,14.1,florida
lake county,10.9,florida
lee county,11.9,florida
leon county,11.2,florida
levy county,13.9,florida
liberty county,17.0,florida
madison county,13.4,florida
manatee county,9.8,florida
marion county,12.9,florida
