GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Percent,Margin of Error
0100000US,,United States,0100000US,,United States,United States,86.3,0.1
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,83.7,0.2
0100000US,,United States,0500000US01001,01001,United States - Alabama - Autauga County,Autauga County,86.2,1.5
0100000US,,United States,0500000US01003,01003,United States - Alabama - Baldwin County,Baldwin County,89.0,0.8
0100000US,,United States,0500000US01005,01005,United States - Alabama - Barbour County,Barbour County,74.6,1.8
0100000US,,United States,0500000US01007,01007,United States - Alabama - Bibb County,Bibb County,77.9,3.2
0100000US,,United States,0500000US01009,01009,United States - Alabama - Blount County,Blount County,78.1,1.8
0100000US,,United States,0500000US01011,01011,United States - Alabama - Bullock County,Bullock County,65.5,4.4
0100000US,,United States,0500000US01013,01013,United States - Alabama - Butler County,Butler County,76.6,2.0
0100000US,,United States,0500000US01015,01015,United States - Alabama - Calhoun County,Calhoun County,80.1,1.0
0100000US,,United States,0500000US01017,01017,United States - Alabama - Chambers County,Chambers County,77.5,1.6
0100000US,,United States,0500000US01019,01019,United States - Alabama - Cherokee County,Cherokee County,79.5,2.0
0100000US,,United States,0500000US01021,01021,United States - Alabama - Chilton County,Chilton County,77.5,1.8
0100000US,,United States,0500000US01023,01023,United States - Alabama - Choctaw County,Choctaw County,74.1,2.7
0100000US,,United States,0500000US01025,01025,United States - Alabama - Clarke County,Clarke County,80.1,2.1
0100000US,,United States,0500000US01027,01027,United States - Alabama - Clay County,Clay County,74.9,3.6
0100000US,,United States,0500000US01029,01029,United States - Alabama - Cleburne County,Cleburne County,75.3,2.6
0100000US,,United States,0500000US01031,01031,United States - Alabama - Coffee County,Coffee County,83.1,1.2
0100000US,,United States,0500000US01033,01033,United States - Alabama - Colbert County,Colbert County,83.6,1.3
0100000US,,United States,0500000US01035,01035,United States - Alabama - Conecuh County,Conecuh County,76.0,3.5
0100000US,,United States,0500000US01037,01037,United States - Alabama - Coosa County,Coosa County,75.9,3.6
0100000US,,United States,0500000US01039,01039,United States - Alabama - Covington County,Covington County,80.0,1.6
0100000US,,United States,0500000US01041,01041,United States - Alabama - Crenshaw County,Crenshaw County,76.9,1.7
0100000US,,United States,0500000US01043,01043,United States - Alabama - Cullman County,Cullman County,81.5,1.1
0100000US,,United States,0500000US01045,01045,United States - Alabama - Dale County,Dale County,84.7,1.3
0100000US,,United States,0500000US01047,01047,United States - Alabama - Dallas County,Dallas County,77.7,1.8
0100000US,,United States,0500000US01049,01049,United States - Alabama - DeKalb County,DeKalb County,73.1,1.6
0100000US,,United States,0500000US01051,01051,United States - Alabama - Elmore County,Elmore County,87.2,1.2
0100000US,,United States,0500000US01053,01053,United States - Alabama - Escambia County,Escambia County,78.6,2.0
0100000US,,United States,0500000US01055,01055,United States - Alabama - Etowah County,Etowah County,82.1,1.0
0100000US,,United States,0500000US01057,01057,United States - Alabama - Fayette County,Fayette County,76.1,3.0
0100000US,,United States,0500000US01059,01059,United States - Alabama - Franklin County,Franklin County,74.4,2.1
0100000US,,United States,0500000US01061,01061,United States - Alabama - Geneva County,Geneva County,78.1,1.9
0100000US,,United States,0500000US01063,01063,United States - Alabama - Greene County,Greene County,75.1,3.9
0100000US,,United States,0500000US01065,01065,United States - Alabama - Hale County,Hale County,79.4,2.2
0100000US,,United States,0500000US01067,01067,United States - Alabama - Henry County,Henry County,79.5,2.4
0100000US,,United States,0500000US01069,01069,United States - Alabama - Houston County,Houston County,84.3,0.5
0100000US,,United States,0500000US01071,01071,United States - Alabama - Jackson County,Jackson County,75.3,1.5
0100000US,,United States,0500000US01073,01073,United States - Alabama - Jefferson County,Jefferson County,87.7,0.4
0100000US,,United States,0500000US01075,01075,United States - Alabama - Lamar County,Lamar County,77.9,2.5
0100000US,,United States,0500000US01077,01077,United States - Alabama - Lauderdale County,Lauderdale County,84.0,1.0
0100000US,,United States,0500000US01079,01079,United States - Alabama - Lawrence County,Lawrence County,78.1,2.1
0100000US,,United States,0500000US01081,01081,United States - Alabama - Lee County,Lee County,87.5,0.9
0100000US,,United States,0500000US01083,01083,United States - Alabama - Limestone County,Limestone County,82.6,1.8
0100000US,,United States,0500000US01085,01085,United States - Alabama - Lowndes County,Lowndes County,72.7,2.8
0100000US,,United States,0500000US01087,01087,United States - Alabama - Macon County,Macon County,81.3,2.0
0100000US,,United States,0500000US01089,01089,United States - Alabama - Madison County,Madison County,90.1,0.5
