Geography,United States
Estimate; Total:,116211092
Margin of Error; Total:,230463
"Estimate; Total: - Less than $10,000",8395338
"Margin of Error; Total: - Less than $10,000",16627
"Estimate; Total: - $10,000 to $14,999",6189386
"Margin of Error; Total: - $10,000 to $14,999",15777
"Estimate; Total: - $15,000 to $19,999",6225984
"Margin of Error; Total: - $15,000 to $19,999",18669
"Estimate; Total: - $20,000 to $24,999",6176944
"Margin of Error; Total: - $20,000 to $24,999",17017
"Estimate; Total: - $25,000 to $29,999",5936983
"Margin of Error; Total: - $25,000 to $29,999",15704
"Estimate; Total: - $30,000 to $34,999",5933726
"Margin of Error; Total: - $30,000 to $34,999",15137
"Estimate; Total: - $35,000 to $39,999",5456901
"Margin of Error; Total: - $35,000 to $39,999",15294
"Estimate; Total: - $40,000 to $44,999",5431366
"Margin of Error; Total: - $40,000 to $44,999",14063
"Estimate; Total: - $45,000 to $49,999",4792866
"Margin of Error; Total: - $45,000 to $49,999",14866
"Estimate; Total: - $50,000 to $59,999",9179218
"Margin of Error; Total: - $50,000 to $59,999",24284
"Estimate; Total: - $60,000 to $74,999",11540101
"Margin of Error; Total: - $60,000 to $74,999",29474
"Estimate; Total: - $75,000 to $99,999",14125429
"Margin of Error; Total: - $75,000 to $99,999",47784
"Estimate; Total: - $100,000 to $124,999",9410154
"Margin of Error; Total: - $100,000 to $124,999",45348
"Estimate; Total: - $125,000 to $149,999",5713601
"Margin of Error; Total: - $125,000 to $149,999",31533
"Estimate; Total: - $150,000 to $199,999",5857717
"Margin of Error; Total: - $150,000 to $199,999",33034
"Estimate; Total: - $200,000 or more",5845378
"Margin of Error; Total: - $200,000 or more",32351
