GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",55136,,43011,331,10257,185,230,65,500,111,16,26,384,342,738,214,55,77,683,194
0500000US01003,01003,"Baldwin County, Alabama",191205,,165673,710,17907,427,999,325,1256,269,0,27,1843,660,3527,593,542,324,2985,515
0500000US01005,01005,"Barbour County, Alabama",27119,,12806,237,12565,186,48,42,204,152,0,21,954,310,542,203,46,66,496,187
0500000US01007,01007,"Bibb County, Alabama",22653,,17379,14,4797,282,160,118,19,24,0,21,6,13,292,249,0,21,292,249
0500000US01009,01009,"Blount County, Alabama",57645,,54927,323,885,130,287,212,57,38,0,27,583,291,906,209,21,23,885,204
0500000US01011,01011,"Bullock County, Alabama",10693,,2803,446,7640,460,70,92,6,12,48,83,0,18,126,95,0,18,126,95
0500000US01013,01013,"Butler County, Alabama",20523,,11204,69,8975,104,25,23,118,85,0,21,49,69,152,68,32,45,120,57
0500000US01015,01015,"Calhoun County, Alabama",117186,,88125,432,24396,304,272,107,939,163,17,19,1294,380,2143,410,138,159,2005,405
0500000US01017,01017,"Chambers County, Alabama",34091,,19771,109,13722,146,61,47,214,31,8,13,31,34,284,114,17,26,267,112
0500000US01019,01019,"Cherokee County, Alabama",26042,,24207,77,1283,84,97,66,90,32,3,5,36,45,326,84,5,9,321,84
0500000US01021,01021,"Chilton County, Alabama",43781,,37018,511,4484,115,178,54,104,54,0,24,1693,499,304,118,16,21,288,119
0500000US01023,01023,"Choctaw County, Alabama",13546,,7558,12,5896,67,0,18,8,14,0,18,0,18,84,63,0,18,84,63
0500000US01025,01025,"Clarke County, Alabama",25331,,13613,56,11401,193,0,21,51,64,93,146,35,41,138,116,10,15,128,115
0500000US01027,01027,"Clay County, Alabama",13617,,11150,130,1986,144,103,48,0,18,0,18,175,133,203,159,21,24,182,157
0500000US01029,01029,"Cleburne County, Alabama",14990,,14095,130,430,116,53,38,69,87,0,18,85,96,258,116,22,32,236,108
0500000US01031,01031,"Coffee County, Alabama",50726,,39064,209,8671,231,445,130,696,132,0,27,291,163,1559,267,58,56,1501,274
0500000US01033,01033,"Colbert County, Alabama",54491,,43356,212,8712,230,360,136,190,83,38,42,744,368,1091,342,251,225,840,269
0500000US01035,01035,"Conecuh County, Alabama",12985,,6778,57,5821,197,71,32,10,17,0,18,0,18,305,208,0,18,305,208
0500000US01037,01037,"Coosa County, Alabama",11247,,7549,18,3524,148,7,11,0,18,0,18,0,18,167,148,0,18,167,148
0500000US01039,01039,"Covington County, Alabama",37881,,32025,108,4868,115,196,73,134,66,20,30,147,111,491,139,86,72,405,136
0500000US01041,01041,"Crenshaw County, Alabama",13938,,10007,70,3269,95,107,33,228,19,0,18,145,86,182,88,0,18,182,88
0500000US01043,01043,"Cullman County, Alabama",80668,,77079,460,1096,214,354,175,401,34,23,22,720,425,995,225,110,91,885,199
0500000US01045,01045,"Dale County, Alabama",50013,,37509,358,9712,229,192,90,599,92,5,9,486,313,1510,240,126,63,1384,231
0500000US01047,01047,"Dallas County, Alabama",42743,,12318,56,29758,278,42,66,55,52,20,34,66,81,484,248,7,11,477,248
0500000US01049,01049,"DeKalb County, Alabama",71074,,62960,1019,1279,146,893,235,206,39,3,5,3979,976,1754,467,216,235,1538,386
0500000US01051,01051,"Elmore County, Alabama",80321,,60602,330,16631,274,364,117,617,145,0,27,734,352,1373,323,139,121,1234,295
0500000US01053,01053,"Escambia County, Alabama",38042,,23633,153,12361,136,1262,88,52,48,0,24,212,146,522,191,97,100,425,157
0500000US01055,01055,"Etowah County, Alabama",104126,,84904,321,16000,229,373,126,696,110,75,78,600,264,1478,297,120,85,1358,284
0500000US01057,01057,"Fayette County, Alabama",17019,,14663,75,2088,203,0,18,42,51,0,18,0,18,226,174,0,18,226,174
0500000US01059,01059,"Franklin County, Alabama",31663,,28420,628,1545,214,206,75,23,25,28,36,1224,573,217,122,79,91,138,78
0500000US01061,01061,"Geneva County, Alabama",26816,,23215,202,2605,178,58,35,109,27,0,21,359,268,470,87,32,46,438,76
0500000US01063,01063,"Greene County, Alabama",8798,,1559,16,7107,111,34,41,10,21,0,16,0,16,88,102,34,62,54,74
0500000US01065,01065,"Hale County, Alabama",15393,,6133,14,8995,78,36,41,41,54,14,21,90,51,84,56,55,50,29,27
0500000US01067,01067,"Henry County, Alabama",17270,,12050,101,4777,170,0,18,218,162,0,18,120,79,105,58,15,27,90,54
0500000US01069,01069,"Houston County, Alabama",103079,,72001,271,26960,230,390,86,845,62,4,7,1021,235,1858,226,73,29,1785,224
0500000US01071,01071,"Jackson County, Alabama",53012,,48395,249,1715,132,974,202,219,47,49,42,552,238,1108,253,39,41,1069,247
0500000US01073,01073,"Jefferson County, Alabama",658834,,349052,1240,278587,943,1568,290,10020,387,117,86,12637,1539,6853,822,397,143,6456,800
0500000US01075,01075,"Lamar County, Alabama",14268,,12460,11,1659,69,37,40,2,4,0,18,5,11,105,58,0,18,105,58
0500000US01077,01077,"Lauderdale County, Alabama",92780,,80695,194,9228,250,436,113,743,58,9,14,236,146,1433,269,133,72,1300,267
0500000US01079,01079,"Lawrence County, Alabama",33835,,26344,198,3751,150,1845,364,40,21,0,24,53,48,1802,481,55,63,1747,483
0500000US01081,01081,"Lee County, Alabama",147790,,104328,738,34142,471,277,133,4567,161,102,102,2128,739,2246,465,76,89,2170,456
0500000US01083,01083,"Limestone County, Alabama",87167,,70843,518,11133,229,527,126,1089,165,33,38,1869,530,1673,385,117,73,1556,361
0500000US01085,01085,"Lowndes County, Alabama",10918,,2820,60,8060,81,0,18,0,18,0,18,0,18,38,39,0,18,38,39
0500000US01087,01087,"Macon County, Alabama",20505,,3377,69,16738,152,67,26,38,47,0,18,155,145,130,63,5,7,125,60
0500000US01089,01089,"Madison County, Alabama",343229,,236921,818,82307,868,2244,329,8415,351,330,80,3054,673,9958,1078,605,250,9353,1023
0500000US01091,01091,"Marengo County, Alabama",20489,,9623,165,10512,126,55,33,58,88,0,21,157,175,84,77,0,21,84,77
0500000US01093,01093,"Marion County, Alabama",30527,,28674,105,1129,258,46,43,157,186,0,24,35,37,486,237,24,28,462,225
0500000US01095,01095,"Marshall County, Alabama",94121,,87082,765,1703,171,632,175,512,84,7,12,2591,746,1594,357,220,208,1374,230
0500000US01097,01097,"Mobile County, Alabama",414045,,249439,680,144637,636,2801,489,7953,306,60,41,2472,594,6683,771,419,183,6264,733
0500000US01099,01099,"Monroe County, Alabama",22509,,12436,89,9449,93,221,107,114,21,0,21,74,92,215,116,0,21,215,116
0500000US01101,01101,"Montgomery County, Alabama",228850,,90109,531,127389,516,593,207,5216,376,36,33,2388,542,3119,610,593,420,2526,504
0500000US01103,01103,"Morgan County, Alabama",119744,,99065,630,14413,330,915,359,746,139,83,102,1881,596,2641,371,151,80,2490,346
0500000US01105,01105,"Perry County, Alabama",10203,,3110,41,6974,94,2,4,32,31,0,18,12,20,73,58,0,18,73,58
0500000US01107,01107,"Pickens County, Alabama",19629,,11012,89,8387,162,0,18,0,18,0,18,39,47,191,117,25,31,166,114
0500000US01109,01109,"Pike County, Alabama",33216,,19497,174,12103,123,258,62,724,58,0,24,43,55,591,216,164,160,427,146
